# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
945	0.0	51137.46138138231
946	0.0	59076.1646181345
947	0.25	33906.34217190867
948	0.5	10069.126445101574
949	0.0	24710.57089790702
950	0.25	28259.628515690565
951	0.0	20725.641998578794
952	0.75	21292.053882963955
953	0.0	13062.251591007225
954	0.0	11205.893999082036
955	0.5	48297.087251907215
956	0.75	19697.913020849228
957	0.0	26339.42998503335
958	0.0	33700.120414374396
959	0.0	16218.081128783524
960	1.0	0.0
961	0.0	7146.435910253786
962	1.0	0.0
963	0.5	9545.701544731855
964	0.0	17385.707152890973
965	0.25	47508.41423263773
966	0.0	17382.089710095897
967	0.0	28288.982731522992
968	0.0	21661.49090998806
969	0.25	38372.24433198571
970	0.0	42754.92067250889
971	0.75	27699.78833803907
972	0.0	17056.370094418526
973	0.0	14372.821545461193
974	0.0	14534.614709671587
975	0.0	29067.765870015137
976	0.0	15591.189094469883
977	0.0	27001.694467733614
978	0.0	18778.115039225668
979	0.25	65162.45886792118
980	0.0	16992.704509641044
981	0.75	75411.71480622143
982	0.25	38775.48472567772
983	0.0	5729.048412526026
984	0.0	3632.2566877352074
985	0.75	8010.2878222242
986	0.0	15935.044096084312
987	0.0	17022.729421034455
988	0.0	6526.261632447131
989	0.75	65534.994629677385
990	0.25	9302.77574667707
991	0.0	5607.426259550266
992	0.0	10175.281700445339
993	0.5	59383.0594306346
994	0.25	31955.95411413039
995	0.25	70687.02442276602
996	0.75	24303.99334896356
997	0.0	43695.42210549116
998	0.25	15862.771343129376
999	0.0	24216.146787046455
1000	1.0	0.0
1001	0.75	87705.69325098768
1002	1.0	0.0
1003	0.75	32335.808855015785
1004	0.0	12078.668484697118
1005	1.0	0.0
1006	0.25	55420.66349073624
1007	0.0	12815.274416236207
1008	0.0	7997.914532083087
1009	0.0	61293.084632605314
1010	0.0	37684.76736557204
1011	0.0	8933.822969323955
1012	1.0	0.0
1013	0.75	63325.34250058234
1014	1.0	0.0
1015	0.0	10341.788796707988
1016	0.0	18627.659349003807
1017	0.0	2578.5555782495067
1018	0.0	30749.18915424496
1019	0.5	12568.028931505978
1020	0.0	4861.801654449664
1021	1.0	0.0
1022	0.75	53.57654904946685
1023	0.0	15604.634010931477
1024	0.25	28640.93384798616
1025	0.0	22344.754583085887
1026	0.25	24495.114295743406
1027	0.25	19433.99576594432
1028	0.0	9549.017218407243
1029	0.25	38644.702591157205
1030	0.25	70670.59591195236
1031	0.0	20407.33593364712
1032	0.25	7492.014145168166
1033	0.0	8140.295613091439
1034	0.5	30765.371288871393
1035	0.25	39253.656858578324
1036	0.0	23489.112855051644
1037	0.0	13616.835391847417
1038	0.0	19090.345047181472
1039	0.0	22351.13710188307
1040	1.0	0.0
1041	0.75	59146.814934909344
1042	0.25	28436.392144300044
1043	0.0	22263.590815709904
1044	0.25	32068.03739971171
1045	0.0	49923.210547538474
1046	0.0	51874.57046168856
1047	0.0	26102.19513834454
1048	0.25	52972.04012299577
1049	0.0	22609.32316223625
1050	0.25	21246.90352504452
